type, client, tx, amount
withdrawal, 50, 248, 2020.8753
withdrawal, 1, 249, 3288.3020
withdrawal, 27, 250, 271.0205
withdrawal, 40, 251, 3782.2158
deposit, 49, 252, 258.0590
deposit, 9, 253, 4638.3638
deposit, 45, 254, 2423.5590
deposit, 41, 255, 3044.3584
deposit, 11, 256, 1553.7508
deposit, 27, 257, 466.0461
deposit, 8, 258, 2307.2395
withdrawal, 10, 259, 2491.8776
deposit, 33, 260, 3527.0582
deposit, 31, 261, 4901.2232
deposit, 36, 262, 723.2099
dispute, 39, 46,
dispute, 18, 165,
deposit, 33, 263, 1335.8634
withdrawal, 47, 264, 1492.7793
deposit, 43, 265, 2448.2018
deposit, 35, 266, 2421.7070
withdrawal, 49, 267, 2717.1504
deposit, 21, 268, 4348.0084
deposit, 16, 269, 2858.9883
deposit, 50, 270, 2053.8755
dispute, 31, 261,
withdrawal, 43, 271, 3961.9683
deposit, 10, 272, 2476.6433
deposit, 33, 273, 4826.7680
deposit, 7, 274, 4370.9519
deposit, 34, 275, 4552.2084
withdrawal, 10, 276, 2049.8932
dispute, 10, 272,
deposit, 22, 277, 3116.2970
dispute, 6, 17,
deposit, 21, 278, 3133.9959
deposit, 32, 279, 4361.9151
withdrawal, 5, 280, 1173.8513
withdrawal, 19, 281, 4987.1296
dispute, 28, 188,
deposit, 29, 282, 831.8240
dispute, 2, 236,
deposit, 23, 283, 1874.2055
withdrawal, 34, 284, 2060.2588
deposit, 12, 285, 849.9183
deposit, 25, 286, 3098.5519
withdrawal, 38, 287, 715.5887
withdrawal, 17, 288, 2297.8525
withdrawal, 30, 289, 4506.0471
deposit, 11, 290, 369.3096
deposit, 38, 291, 1495.7713
dispute, 45, 160,
deposit, 25, 292, 4266.6773
withdrawal, 25, 293, 2859.6135
deposit, 45, 294, 1476.1538
deposit, 43, 295, 1979.0288
deposit, 44, 296, 3891.5581
dispute, 39, 98,
withdrawal, 50, 297, 3994.3006
deposit, 23, 298, 1095.0228
withdrawal, 17, 299, 3388.8223
deposit, 43, 300, 3404.2755
withdrawal, 7, 301, 4517.0185
deposit, 20, 302, 3943.0524
deposit, 24, 303, 3661.7989
deposit, 19, 304, 1633.5957
withdrawal, 13, 305, 660.7991
resolve, 24, 19,
deposit, 17, 306, 4570.2448
deposit, 19, 307, 3732.7968
deposit, 8, 308, 2341.6570
dispute, 49, 252,
dispute, 36, 105,
withdrawal, 17, 309, 2682.8616
deposit, 44, 310, 3745.0580
deposit, 25, 311, 4112.0865
withdrawal, 7, 312, 3374.1828
withdrawal, 40, 313, 4421.1742
deposit, 40, 314, 1106.8361
deposit, 30, 315, 4546.9382
deposit, 27, 316, 583.3798
withdrawal, 3, 317, 1521.8230
withdrawal, 7, 318, 1174.0002
withdrawal, 25, 319, 2268.2188
withdrawal, 48, 320, 3482.4200
deposit, 38, 321, 3711.3451
dispute, 27, 316,
deposit, 27, 322, 4695.2653
deposit, 45, 323, 1852.6499
deposit, 16, 324, 4277.2510
deposit, 44, 325, 1836.6749
deposit, 42, 326, 1793.3693
deposit, 13, 327, 4841.0344
deposit, 30, 328, 458.3672
deposit, 41, 329, 2985.7298
deposit, 22, 330, 1217.8446
dispute, 37, 187,
deposit, 14, 331, 2931.9155
deposit, 15, 332, 1642.7978
dispute, 39, 52,
dispute, 9, 96,
deposit, 43, 333, 4332.2395
deposit, 23, 334, 3949.9233
deposit, 21, 335, 78.9055
withdrawal, 9, 336, 3708.5903
deposit, 48, 337, 317.7903
deposit, 24, 338, 2566.1898
withdrawal, 33, 339, 1107.7489
dispute, 47, 123,
deposit, 30, 340, 3216.7035
deposit, 31, 341, 4236.4927
deposit, 7, 342, 2451.3443
deposit, 5, 343, 4496.3338
deposit, 10, 344, 328.4113
withdrawal, 41, 345, 2926.8235
withdrawal, 25, 346, 4973.1388
deposit, 30, 347, 2527.7554
withdrawal, 45, 348, 572.0705
dispute, 50, 270,
deposit, 29, 349, 4440.4551
withdrawal, 30, 350, 1993.6510
withdrawal, 21, 351, 2133.8201
withdrawal, 24, 352, 4767.9626
dispute, 31, 193,
withdrawal, 28, 353, 482.8223
withdrawal, 9, 354, 2781.8537
withdrawal, 36, 355, 2808.4170
withdrawal, 27, 356, 1767.9905
resolve, 49, 252,
deposit, 19, 357, 3002.0505
deposit, 37, 358, 2537.0628
deposit, 31, 359, 1121.2244
dispute, 36, 151,
deposit, 28, 360, 4225.7758
withdrawal, 40, 361, 3067.8664
withdrawal, 2, 362, 3044.9746
deposit, 45, 363, 1337.2387
resolve, 45, 160,
deposit, 1, 364, 907.0279
deposit, 43, 365, 2003.9218
deposit, 41, 366, 4859.0516
deposit, 34, 367, 1075.6645
deposit, 22, 368, 787.0465
withdrawal, 21, 369, 3884.1781
deposit, 6, 370, 4416.7109
withdrawal, 49, 371, 3089.1909
deposit, 18, 372, 2215.5649
deposit, 39, 373, 2210.2210
deposit, 49, 374, 2561.7316
withdrawal, 8, 375, 1416.2324
deposit, 32, 376, 2634.6706
withdrawal, 15, 377, 1976.3170
resolve, 1, 88,
deposit, 49, 378, 1277.5976
deposit, 1, 379, 2486.9267
withdrawal, 9, 380, 1901.0373
withdrawal, 33, 381, 2793.6179
dispute, 23, 11,
resolve, 28, 188,
deposit, 37, 382, 2146.4215
deposit, 41, 383, 2088.4699
deposit, 2, 384, 4830.9985
withdrawal, 40, 385, 2300.4846
dispute, 24, 107,
withdrawal, 28, 386, 2944.3565
withdrawal, 26, 387, 4352.6221
deposit, 15, 388, 1665.3432
withdrawal, 33, 389, 3166.1234
deposit, 13, 390, 4529.6137
withdrawal, 47, 391, 4791.1167
deposit, 10, 392, 1181.3443
deposit, 13, 393, 867.4952
deposit, 49, 394, 3277.5451
withdrawal, 50, 395, 3139.7439
deposit, 37, 396, 3799.3858
deposit, 37, 397, 3214.9592
withdrawal, 21, 398, 4321.2344
withdrawal, 10, 399, 2198.8141
deposit, 41, 400, 1514.1022
deposit, 4, 401, 1759.7112
deposit, 30, 402, 2259.5694
dispute, 19, 227,
deposit, 40, 403, 2970.3991
dispute, 38, 58,
withdrawal, 29, 404, 4545.2498
withdrawal, 13, 405, 1607.6339
withdrawal, 10, 406, 4788.6118
deposit, 22, 407, 4911.9279
deposit, 42, 408, 862.7946
withdrawal, 29, 409, 4954.9301
deposit, 40, 410, 793.7311
dispute, 19, 245,
deposit, 41, 411, 3236.5268
deposit, 7, 412, 2789.8161
withdrawal, 17, 413, 3618.6683
deposit, 39, 414, 4366.3983
resolve, 38, 58,
deposit, 42, 415, 3492.3998
deposit, 39, 416, 3544.1701
dispute, 36, 111,
resolve, 43, 20,
withdrawal, 42, 417, 3352.2802
deposit, 2, 418, 1812.9884
dispute, 14, 331,
deposit, 15, 419, 4999.8831
deposit, 19, 420, 4222.1420
withdrawal, 50, 421, 2698.8538
deposit, 34, 422, 188.7376
withdrawal, 50, 423, 3090.1574
dispute, 10, 392,
deposit, 11, 424, 3605.9150
deposit, 24, 425, 3381.8146
dispute, 29, 282,
deposit, 15, 426, 2670.0558
deposit, 31, 427, 4519.8717
deposit, 44, 428, 4735.6509
dispute, 30, 402,
deposit, 34, 429, 2093.3042
deposit, 13, 430, 4006.2961
withdrawal, 17, 431, 260.8991
deposit, 24, 432, 2772.7038
deposit, 34, 433, 4255.8303
deposit, 49, 434, 801.5618
deposit, 33, 435, 736.7434
deposit, 15, 436, 4083.5163
deposit, 2, 437, 2074.4846
deposit, 24, 438, 1178.8904
deposit, 24, 439, 1122.6939
withdrawal, 7, 440, 4195.8815
deposit, 10, 441, 687.9980
deposit, 31, 442, 3480.3600
withdrawal, 46, 443, 2345.5507
deposit, 6, 444, 95.0195
withdrawal, 10, 445, 2744.0213
dispute, 34, 240,
deposit, 20, 446, 609.2418
withdrawal, 41, 447, 3969.4956
withdrawal, 8, 448, 4183.4386
withdrawal, 35, 449, 82.1769
deposit, 16, 450, 3592.7217
deposit, 1, 451, 3074.0480
withdrawal, 27, 452, 936.5696
deposit, 34, 453, 4873.2725
dispute, 34, 453,
dispute, 36, 206,
deposit, 41, 454, 1934.4067
dispute, 48, 337,
withdrawal, 16, 455, 3664.7051
dispute, 50, 45,
deposit, 3, 456, 1761.4953
dispute, 42, 408,
deposit, 45, 457, 2392.6559
dispute, 9, 108,
deposit, 3, 458, 1467.2129
deposit, 13, 459, 4428.9519
deposit, 20, 460, 2576.9180
deposit, 35, 461, 2366.9989
deposit, 42, 462, 955.5172
withdrawal, 50, 463, 239.0203
deposit, 18, 464, 622.3751
resolve, 26, 70,
withdrawal, 22, 465, 4868.6179
dispute, 32, 203,
deposit, 6, 466, 3635.4066
deposit, 39, 467, 4975.4908
deposit, 19, 468, 1606.0572
deposit, 43, 469, 1478.1998
withdrawal, 46, 470, 2130.5804
withdrawal, 23, 471, 2235.6484
deposit, 23, 472, 3074.2574
resolve, 41, 43,
deposit, 43, 473, 3187.5627
resolve, 48, 97,
deposit, 39, 474, 3390.4444
dispute, 9, 253,
withdrawal, 24, 475, 1914.2721
deposit, 39, 476, 767.1909
dispute, 24, 432,
deposit, 9, 477, 2647.2995
deposit, 42, 478, 1393.4489
withdrawal, 2, 479, 3678.3743
deposit, 25, 480, 4567.7125
deposit, 50, 481, 1301.4489
deposit, 40, 482, 1427.8845
deposit, 32, 483, 1000.8918
deposit, 5, 484, 2260.2135
dispute, 29, 215,
deposit, 43, 485, 1737.1265
deposit, 35, 486, 1451.8115
deposit, 11, 487, 3559.0455
deposit, 41, 488, 870.4551
deposit, 15, 489, 606.8124
withdrawal, 9, 490, 1183.6810
deposit, 24, 491, 2770.1072
resolve, 36, 105,
withdrawal, 20, 492, 1990.8000
dispute, 31, 341,
withdrawal, 9, 493, 4861.8987
withdrawal, 29, 494, 2329.1661
dispute, 9, 103,
deposit, 50, 495, 4831.3231
withdrawal, 4, 496, 4156.9540
deposit, 20, 497, 823.2855
deposit, 46, 498, 1127.3515
dispute, 34, 367,
withdrawal, 13, 499, 3175.2855
withdrawal, 9, 500, 3125.1118
deposit, 6, 501, 2512.8658
withdrawal, 38, 502, 770.9714
deposit, 47, 503, 4510.0045
dispute, 37, 161,
dispute, 3, 122,
withdrawal, 42, 504, 1054.0420
withdrawal, 40, 505, 3194.9560
withdrawal, 41, 506, 2727.8875
dispute, 20, 460,
withdrawal, 20, 507, 2267.7207
withdrawal, 11, 508, 2198.0276
deposit, 14, 509, 1700.9629
deposit, 46, 510, 1596.5820
deposit, 23, 511, 4876.8706
deposit, 24, 512, 2574.9007
deposit, 16, 513, 2332.3629
deposit, 16, 514, 704.3883
deposit, 25, 515, 4320.8193
deposit, 11, 516, 4067.3893
dispute, 47, 503,
dispute, 33, 273,
deposit, 2, 517, 450.2456
deposit, 30, 518, 4833.4332
deposit, 23, 519, 243.2908
withdrawal, 39, 520, 4411.6974
deposit, 31, 521, 1428.7420
deposit, 7, 522, 2154.6389
deposit, 47, 523, 1828.8883
withdrawal, 3, 524, 2002.9082
deposit, 13, 525, 1812.6189
dispute, 25, 286,
deposit, 40, 526, 3401.9932
dispute, 7, 181,
dispute, 36, 105,
withdrawal, 39, 527, 2545.6126
withdrawal, 3, 528, 194.5699
deposit, 31, 529, 2596.6636
resolve, 33, 273,
withdrawal, 11, 530, 1964.7730
withdrawal, 20, 531, 2968.6233
withdrawal, 33, 532, 2661.6992
deposit, 20, 533, 2374.4631
deposit, 22, 534, 3369.0320
resolve, 38, 3,
deposit, 39, 535, 2372.9511
deposit, 50, 536, 2892.3717
deposit, 4, 537, 2917.6164
dispute, 41, 366,
deposit, 10, 538, 4108.3065
deposit, 37, 539, 4741.0259
deposit, 2, 540, 2205.1929
deposit, 27, 541, 3452.5013
withdrawal, 50, 542, 3057.3903
withdrawal, 48, 543, 3637.0105
deposit, 34, 544, 1036.7086
deposit, 43, 545, 2391.8550
withdrawal, 12, 546, 2298.3177
dispute, 35, 167,
deposit, 40, 547, 2420.9006
deposit, 18, 548, 2790.4333
withdrawal, 20, 549, 3855.8714
deposit, 45, 550, 3524.9413
resolve, 23, 11,
withdrawal, 19, 551, 609.3706
deposit, 25, 552, 4478.8023
dispute, 23, 334,
withdrawal, 3, 553, 1438.1518
withdrawal, 23, 554, 4620.0482
deposit, 48, 555, 2395.3964
withdrawal, 35, 556, 1355.6637
withdrawal, 18, 557, 686.3649
deposit, 38, 558, 1196.4104
deposit, 34, 559, 1128.3583
withdrawal, 7, 560, 2066.5069
deposit, 7, 561, 3405.9600
deposit, 36, 562, 4889.5536
dispute, 42, 415,
deposit, 42, 563, 997.2800
deposit, 21, 564, 1427.0768
withdrawal, 50, 565, 447.3037
dispute, 35, 6,
dispute, 12, 114,
deposit, 26, 566, 3939.8032
resolve, 48, 207,
withdrawal, 1, 567, 1491.9611
deposit, 22, 568, 1422.8083
resolve, 35, 6,
deposit, 33, 569, 2340.1039
withdrawal, 8, 570, 1653.4206
deposit, 42, 571, 1286.3245
deposit, 48, 572, 1685.5610
deposit, 44, 573, 3786.4138
dispute, 41, 411,
withdrawal, 21, 574, 433.6889
withdrawal, 12, 575, 4908.4260
deposit, 16, 576, 34.1507
resolve, 29, 215,
deposit, 38, 577, 3614.4127
deposit, 42, 578, 1797.7605
deposit, 43, 579, 591.1243
deposit, 26, 580, 3430.3681
withdrawal, 46, 581, 3849.2053
deposit, 41, 582, 4580.6519
deposit, 40, 583, 1104.2463
withdrawal, 31, 584, 765.9279
withdrawal, 39, 585, 1868.1243
dispute, 31, 427,
dispute, 49, 238,
withdrawal, 34, 586, 2233.7399
deposit, 5, 587, 4586.2235
deposit, 36, 588, 4514.4408
deposit, 35, 589, 749.2620
withdrawal, 34, 590, 2209.2028
deposit, 46, 591, 2915.7384
deposit, 33, 592, 2227.4135
withdrawal, 9, 593, 2566.2393
withdrawal, 4, 594, 2793.9860
deposit, 20, 595, 3616.4004
withdrawal, 1, 596, 3729.0224
withdrawal, 3, 597, 2118.4870
resolve, 35, 167,
deposit, 31, 598, 158.6745
withdrawal, 50, 599, 677.1444
deposit, 47, 600, 3229.4041
resolve, 25, 286,
deposit, 25, 601, 401.2501
dispute, 35, 22,
deposit, 12, 602, 4964.2339
deposit, 9, 603, 3639.2907
deposit, 1, 604, 3780.8971
withdrawal, 30, 605, 3367.4993
deposit, 35, 606, 1896.3824
deposit, 30, 607, 1730.7987
deposit, 47, 608, 3827.4497
dispute, 43, 16,
deposit, 16, 609, 1030.4082
withdrawal, 3, 610, 2232.2054
deposit, 4, 611, 1223.6708
deposit, 29, 612, 1171.6965
withdrawal, 50, 613, 282.2203
resolve, 19, 245,
dispute, 21, 278,
deposit, 16, 614, 1508.8222
deposit, 43, 615, 2606.2553
resolve, 18, 102,
withdrawal, 41, 616, 3393.7506
deposit, 4, 617, 4861.4512
withdrawal, 43, 618, 1905.7732
deposit, 45, 619, 2081.6232
withdrawal, 25, 620, 919.3950
deposit, 16, 621, 4246.7047
withdrawal, 46, 622, 721.7588
deposit, 4, 623, 2811.9298
deposit, 36, 624, 2649.9591
withdrawal, 17, 625, 1016.6837
deposit, 29, 626, 4235.6669
deposit, 47, 627, 4147.0314
withdrawal, 25, 628, 3368.3596
dispute, 5, 157,
resolve, 31, 261,
deposit, 1, 629, 1059.0389
chargeback, 48, 337,
withdrawal, 16, 630, 3478.1315
withdrawal, 26, 631, 4575.6323
withdrawal, 50, 632, 1415.2961
deposit, 42, 633, 1796.2978
withdrawal, 33, 634, 4414.0598
dispute, 47, 523,
deposit, 24, 635, 1564.6102
deposit, 15, 636, 3706.2619
withdrawal, 36, 637, 4673.7913
deposit, 27, 638, 1475.9615
dispute, 15, 426,
withdrawal, 36, 639, 3273.0399
withdrawal, 17, 640, 3816.8032
withdrawal, 47, 641, 3208.4723
deposit, 11, 642, 3663.8612
withdrawal, 9, 643, 3601.5677
resolve, 35, 22,
withdrawal, 5, 644, 4725.9406
deposit, 49, 645, 31.9192
withdrawal, 41, 646, 1157.1670
withdrawal, 1, 647, 1093.5984
withdrawal, 4, 648, 3089.1762
withdrawal, 40, 649, 4563.7573
withdrawal, 2, 650, 33.0619
withdrawal, 1, 651, 83.6308
deposit, 35, 652, 4887.3967
dispute, 45, 294,
withdrawal, 7, 653, 4590.2442
withdrawal, 16, 654, 959.6604
deposit, 23, 655, 1336.6238
withdrawal, 24, 656, 4796.4890
deposit, 16, 657, 4951.1652
deposit, 44, 658, 4140.3104
deposit, 42, 659, 3797.9293
withdrawal, 25, 660, 1885.8479
deposit, 41, 661, 47.2510
withdrawal, 32, 662, 4226.6490
dispute, 22, 196,
deposit, 34, 663, 4595.7611
withdrawal, 45, 664, 4437.7715
withdrawal, 3, 665, 4620.7963
withdrawal, 18, 666, 4496.5583
dispute, 3, 26,
dispute, 14, 509,
withdrawal, 5, 667, 1496.3845
deposit, 37, 668, 4173.2528
dispute, 35, 76,
withdrawal, 45, 669, 3620.8179
deposit, 23, 670, 268.4823
dispute, 5, 343,
deposit, 26, 671, 4844.6026
chargeback, 41, 411,
resolve, 15, 426,
withdrawal, 12, 672, 3398.4743
deposit, 6, 673, 3860.8370
deposit, 16, 674, 3565.5427
dispute, 10, 344,
deposit, 48, 675, 1948.1099
deposit, 6, 676, 25.9762
deposit, 24, 677, 3806.7325
deposit, 6, 678, 936.9590
deposit, 36, 679, 2562.2043
deposit, 6, 680, 1769.5715
dispute, 39, 220,
dispute, 19, 468,
deposit, 36, 681, 4526.0379
withdrawal, 37, 682, 2605.5227
deposit, 11, 683, 694.2004
deposit, 32, 684, 729.6742
withdrawal, 18, 685, 2105.5118
resolve, 5, 343,
withdrawal, 39, 686, 3083.3440
resolve, 9, 103,
dispute, 40, 547,
dispute, 22, 568,
deposit, 39, 687, 680.6224
deposit, 45, 688, 1004.2575
deposit, 26, 689, 4843.6261
deposit, 45, 690, 3164.5123
deposit, 16, 691, 1629.4313
deposit, 26, 692, 1825.0778
withdrawal, 13, 693, 2961.1352
deposit, 44, 694, 3838.0896
withdrawal, 47, 695, 2308.1112
dispute, 29, 66,
deposit, 27, 696, 3364.8883
withdrawal, 20, 697, 1210.1059
deposit, 46, 698, 2115.6398
withdrawal, 29, 699, 4953.5031
deposit, 26, 700, 2671.8371
deposit, 45, 701, 2091.5035
dispute, 24, 677,
deposit, 41, 702, 4572.0063
deposit, 16, 703, 3288.0083
withdrawal, 42, 704, 3063.3896
deposit, 42, 705, 3387.3595
dispute, 49, 252,
deposit, 1, 706, 493.0329
withdrawal, 48, 707, 2593.9889
deposit, 37, 708, 1105.1588
withdrawal, 30, 709, 3861.7112
